ID,Name,dataId,queryStart,queryEnd,readStart,readEnd,sendStart,sendEnd,adrenStart,adrenEnd,queryTime,readTime,sendTime,adrenTime
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 09:00:09,2017-08-24 09:00:12,2017-08-24 09:00:12,2017-08-24 09:00:13,2017-08-24 09:00:13,2017-08-24 09:00:19,2017-08-24 09:00:19,2017-08-24 09:00:26,3.0,1.0,6.0,7.0
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 09:30:18,2017-08-24 09:30:21,2017-08-24 09:30:21,2017-08-24 09:30:21,2017-08-24 09:30:21,2017-08-24 09:30:25,2017-08-24 09:30:25,2017-08-24 09:30:31,3.0,0.0,4.0,6.0
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 10:00:04,2017-08-24 10:00:07,2017-08-24 10:00:07,2017-08-24 10:00:07,2017-08-24 10:00:07,2017-08-24 10:00:09,2017-08-24 10:00:09,2017-08-24 10:00:15,3.0,0.0,2.0,6.0
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 10:30:22,2017-08-24 10:30:25,2017-08-24 10:30:25,2017-08-24 10:30:25,2017-08-24 10:30:25,2017-08-24 10:30:28,2017-08-24 10:30:28,2017-08-24 10:30:34,3.0,0.0,3.0,6.0
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 11:00:04,2017-08-24 11:00:07,2017-08-24 11:00:07,2017-08-24 11:00:07,2017-08-24 11:00:07,2017-08-24 11:00:11,2017-08-24 11:00:11,2017-08-24 11:00:17,3.0,0.0,4.0,6.0
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 11:30:16,2017-08-24 11:30:20,2017-08-24 11:30:20,2017-08-24 11:30:20,2017-08-24 11:30:20,2017-08-24 11:30:22,2017-08-24 11:30:22,2017-08-24 11:30:28,4.0,0.0,2.0,6.0
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 12:00:05,2017-08-24 12:00:08,2017-08-24 12:00:08,2017-08-24 12:00:08,2017-08-24 12:00:08,2017-08-24 12:00:12,2017-08-24 12:00:12,2017-08-24 12:00:18,3.0,0.0,4.0,6.0
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 12:30:19,2017-08-24 12:30:23,2017-08-24 12:30:23,2017-08-24 12:30:23,2017-08-24 12:30:23,2017-08-24 12:30:25,2017-08-24 12:30:25,2017-08-24 12:30:31,4.0,0.0,2.0,6.0
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 13:00:04,2017-08-24 13:00:07,2017-08-24 13:00:07,2017-08-24 13:00:07,2017-08-24 13:00:07,2017-08-24 13:00:10,2017-08-24 13:00:10,2017-08-24 13:00:16,3.0,0.0,3.0,6.0
5be3789d-b917-4401-9ebc-15917adee851,SYS4 PLANT INVENTORY DETAIL - SM - SVR,340,2017-08-24 13:30:18,2017-08-24 13:30:22,2017-08-24 13:30:22,2017-08-24 13:30:22,2017-08-24 13:30:22,2017-08-24 13:30:25,2017-08-24 13:30:25,2017-08-24 13:30:30,4.0,0.0,3.0,5.0
